city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa_(BRL),rent_amount_(BRL),property_tax_(BRL),fire_insurance_(BRL),total_(BRL)
4.0,70.0,2.0,1.0,1.0,32.0,0.0,0.0,2065.0,3300.0,211.0,42.0,5618.0
4.0,320.0,4.0,4.0,0.0,13.0,0.0,1.0,1200.0,4960.0,1750.0,63.0,7973.0
2.0,80.0,1.0,1.0,1.0,31.0,0.0,1.0,1000.0,2800.0,0.0,41.0,3841.0
2.0,51.0,2.0,1.0,0.0,12.0,0.0,1.0,270.0,1112.0,22.0,17.0,1421.0
4.0,25.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,800.0,25.0,11.0,836.0
4.0,376.0,3.0,3.0,7.0,0.0,0.0,1.0,0.0,8000.0,834.0,121.0,8955.0
3.0,72.0,2.0,1.0,0.0,32.0,0.0,1.0,740.0,1900.0,85.0,25.0,2750.0
4.0,213.0,4.0,4.0,4.0,27.0,0.0,1.0,2254.0,3223.0,1735.0,41.0,7253.0
4.0,152.0,2.0,2.0,1.0,23.0,0.0,0.0,1000.0,15000.0,250.0,191.0,16440.0
3.0,35.0,1.0,1.0,0.0,12.0,0.0,0.0,590.0,2300.0,35.0,30.0,2955.0
4.0,26.0,1.0,1.0,0.0,12.0,0.0,0.0,470.0,2100.0,150.0,27.0,2747.0
1.0,46.0,1.0,1.0,1.0,2.0,0.0,1.0,550.0,580.0,43.0,8.0,1181.0
4.0,36.0,1.0,1.0,0.0,3.0,0.0,1.0,359.0,2100.0,70.0,27.0,2556.0
4.0,55.0,1.0,1.0,1.0,12.0,0.0,0.0,790.0,4200.0,224.0,54.0,5268.0
4.0,100.0,2.0,2.0,2.0,17.0,0.0,0.0,900.0,4370.0,17.0,56.0,5343.0
1.0,330.0,4.0,6.0,6.0,0.0,0.0,0.0,680.0,8000.0,328.0,121.0,9129.0
4.0,110.0,2.0,2.0,1.0,1.0,0.0,1.0,700.0,3000.0,122.0,39.0,3861.0
3.0,88.0,2.0,3.0,1.0,34.0,1.0,0.0,1614.0,3500.0,221.0,16.0,5351.0
3.0,56.0,2.0,1.0,0.0,33.0,0.0,1.0,800.0,1220.0,0.0,16.0,2036.0
4.0,600.0,4.0,5.0,6.0,0.0,0.0,1.0,0.0,12000.0,9500.0,181.0,21680.0
4.0,100.0,7.0,4.0,0.0,0.0,0.0,1.0,0.0,3800.0,118.0,58.0,3976.0
0.0,42.0,1.0,1.0,1.0,9.0,1.0,0.0,470.0,2690.0,172.0,36.0,3368.0
4.0,160.0,3.0,2.0,2.0,10.0,0.0,0.0,1530.0,1900.0,167.0,25.0,3622.0
4.0,35.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1100.0,3.0,14.0,1117.0
3.0,90.0,3.0,2.0,1.0,32.0,0.0,1.0,800.0,1800.0,118.0,24.0,2742.0
4.0,49.0,1.0,1.0,1.0,2.0,0.0,1.0,480.0,3500.0,42.0,45.0,4067.0
4.0,41.0,1.0,1.0,1.0,29.0,1.0,0.0,600.0,3000.0,0.0,39.0,3639.0
0.0,64.0,2.0,2.0,1.0,3.0,0.0,1.0,352.0,1500.0,80.0,20.0,1952.0
1.0,208.0,3.0,2.0,4.0,0.0,0.0,1.0,0.0,3180.0,100.0,48.0,3328.0
4.0,20.0,1.0,1.0,0.0,29.0,0.0,0.0,602.0,1800.0,130.0,23.0,2555.0
4.0,55.0,2.0,2.0,2.0,31.0,0.0,1.0,780.0,1068.0,142.0,14.0,2004.0
4.0,32.0,1.0,1.0,0.0,23.0,0.0,1.0,515.0,1700.0,29.0,22.0,2266.0
4.0,80.0,2.0,2.0,1.0,3.0,0.0,1.0,1208.0,2550.0,216.0,33.0,4007.0
3.0,45.0,1.0,1.0,1.0,2.0,0.0,0.0,2450.0,2500.0,593.0,33.0,5576.0
4.0,350.0,4.0,4.0,3.0,33.0,0.0,1.0,2100.0,4000.0,500.0,51.0,6651.0
2.0,38.0,1.0,1.0,2.0,3.0,1.0,1.0,450.0,1750.0,0.0,26.0,2226.0
4.0,30.0,1.0,1.0,0.0,1.0,0.0,1.0,460.0,1600.0,0.0,21.0,2081.0
0.0,80.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,11000.0,425.0,181.0,11610.0
4.0,70.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1150.0,59.0,18.0,1227.0
2.0,40.0,1.0,1.0,1.0,31.0,0.0,0.0,390.0,2990.0,0.0,44.0,3424.0
4.0,300.0,4.0,6.0,4.0,13.0,0.0,1.0,3700.0,12000.0,1584.0,153.0,17440.0
4.0,240.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,3500.0,292.0,53.0,3845.0
0.0,200.0,4.0,2.0,1.0,32.0,1.0,1.0,850.0,2550.0,9.0,34.0,3443.0
0.0,45.0,1.0,1.0,1.0,29.0,0.0,1.0,500.0,1631.0,192.0,12.0,2335.0
4.0,360.0,4.0,5.0,0.0,1.0,0.0,1.0,4000.0,6410.0,2000.0,82.0,12490.0
4.0,40.0,1.0,1.0,1.0,2.0,0.0,0.0,978.0,2829.0,0.0,33.0,3840.0
0.0,100.0,3.0,1.0,0.0,5.0,1.0,1.0,700.0,1220.0,10.0,17.0,1947.0
2.0,42.0,1.0,1.0,2.0,12.0,0.0,0.0,190.0,1770.0,17.0,26.0,2003.0
1.0,250.0,3.0,3.0,2.0,1.0,0.0,1.0,2200.0,1700.0,256.0,22.0,4178.0
1.0,48.0,1.0,1.0,1.0,12.0,0.0,0.0,505.0,1600.0,59.0,21.0,2185.0
3.0,90.0,3.0,3.0,1.0,2.0,0.0,1.0,1250.0,3800.0,147.0,49.0,5246.0
4.0,45.0,1.0,2.0,1.0,7.0,0.0,0.0,856.0,3900.0,150.0,50.0,4956.0
3.0,150.0,2.0,3.0,4.0,31.0,0.0,1.0,1700.0,4000.0,700.0,52.0,6452.0
4.0,60.0,2.0,1.0,0.0,12.0,0.0,1.0,200.0,1445.0,0.0,19.0,1664.0
4.0,31.0,1.0,1.0,0.0,27.0,0.0,1.0,370.0,2350.0,56.0,30.0,2806.0
4.0,210.0,4.0,5.0,4.0,27.0,1.0,1.0,1650.0,9000.0,772.0,115.0,11540.0
4.0,280.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,6000.0,113.0,91.0,6204.0
1.0,93.0,2.0,3.0,2.0,34.0,0.0,1.0,663.0,5500.0,133.0,70.0,6366.0
2.0,75.0,3.0,2.0,1.0,34.0,0.0,1.0,340.0,1800.0,109.0,27.0,2276.0
4.0,194.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,4000.0,70.0,61.0,4131.0
4.0,41.0,1.0,1.0,1.0,31.0,0.0,0.0,523.0,4000.0,131.0,51.0,4705.0
3.0,65.0,1.0,1.0,1.0,33.0,0.0,0.0,2000.0,5100.0,250.0,66.0,7416.0
4.0,70.0,2.0,1.0,1.0,5.0,0.0,1.0,761.0,2150.0,67.0,28.0,3006.0
4.0,278.0,4.0,5.0,2.0,8.0,0.0,0.0,4052.0,9000.0,1261.0,115.0,14430.0
3.0,35.0,1.0,1.0,0.0,29.0,0.0,1.0,306.0,1521.0,21.0,20.0,1868.0
1.0,300.0,4.0,4.0,3.0,12.0,0.0,1.0,2300.0,6000.0,417.0,77.0,8794.0
4.0,61.0,2.0,1.0,1.0,27.0,0.0,1.0,459.0,1850.0,0.0,24.0,2333.0
3.0,130.0,3.0,2.0,1.0,32.0,0.0,1.0,1660.0,1700.0,475.0,22.0,3857.0
3.0,80.0,2.0,1.0,1.0,13.0,0.0,1.0,500.0,900.0,90.0,12.0,1502.0
4.0,164.0,4.0,4.0,2.0,31.0,1.0,1.0,2159.0,5000.0,386.0,64.0,7609.0
0.0,220.0,4.0,2.0,3.0,23.0,0.0,1.0,450.0,2422.0,125.0,33.0,3030.0
4.0,45.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1050.0,46.0,16.0,1112.0
4.0,108.0,3.0,2.0,2.0,32.0,0.0,1.0,1290.0,5600.0,435.0,71.0,7396.0
0.0,128.0,1.0,1.0,0.0,27.0,0.0,0.0,418.0,2100.0,182.0,28.0,2728.0
3.0,60.0,1.0,1.0,0.0,2.0,1.0,1.0,450.0,1800.0,48.0,24.0,2322.0
4.0,250.0,4.0,5.0,4.0,31.0,0.0,1.0,2050.0,9800.0,998.0,125.0,12970.0
2.0,47.0,1.0,1.0,1.0,1.0,1.0,0.0,400.0,2200.0,0.0,33.0,2633.0
0.0,170.0,4.0,3.0,4.0,34.0,1.0,1.0,744.0,2700.0,296.0,36.0,3776.0
4.0,45.0,1.0,1.0,0.0,1.0,1.0,1.0,300.0,1240.0,0.0,16.0,1556.0
4.0,42.0,1.0,1.0,1.0,7.0,0.0,1.0,686.0,3500.0,123.0,45.0,4354.0
4.0,164.0,4.0,4.0,3.0,1.0,0.0,1.0,1840.0,6000.0,550.0,77.0,8467.0
4.0,70.0,3.0,1.0,1.0,1.0,0.0,1.0,700.0,1020.0,200.0,13.0,1933.0
2.0,100.0,4.0,3.0,1.0,33.0,0.0,1.0,600.0,2200.0,159.0,33.0,2992.0
4.0,64.0,2.0,2.0,2.0,27.0,0.0,0.0,1300.0,4500.0,440.0,58.0,6298.0
0.0,68.0,2.0,1.0,1.0,23.0,0.0,1.0,320.0,1200.0,27.0,16.0,1563.0
0.0,75.0,2.0,2.0,2.0,6.0,1.0,1.0,620.0,2500.0,264.0,34.0,3418.0
4.0,600.0,4.0,4.0,4.0,34.0,0.0,1.0,7400.0,8500.0,3368.0,108.0,19380.0
4.0,63.0,2.0,2.0,0.0,7.0,1.0,1.0,590.0,1550.0,152.0,20.0,2312.0
4.0,145.0,3.0,4.0,3.0,1.0,1.0,1.0,1200.0,6000.0,750.0,77.0,8027.0
4.0,85.0,2.0,2.0,2.0,23.0,1.0,1.0,1500.0,2800.0,292.0,36.0,4628.0
4.0,254.0,4.0,4.0,4.0,32.0,0.0,1.0,3366.0,9000.0,1800.0,115.0,14280.0
2.0,350.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,9000.0,359.0,160.0,9520.0
4.0,300.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,3500.0,584.0,53.0,4137.0
0.0,296.0,4.0,3.0,2.0,0.0,0.0,1.0,0.0,13500.0,423.0,222.0,14150.0
4.0,64.0,2.0,2.0,2.0,33.0,0.0,1.0,450.0,2800.0,30.0,36.0,3316.0
4.0,133.0,3.0,2.0,0.0,31.0,0.0,1.0,813.0,2957.0,38.0,38.0,3846.0
1.0,44.0,1.0,1.0,0.0,32.0,0.0,1.0,350.0,550.0,12.0,7.0,919.0
1.0,240.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,3000.0,250.0,46.0,3296.0
2.0,70.0,3.0,2.0,1.0,27.0,0.0,1.0,490.0,2500.0,8.0,37.0,3035.0
4.0,22.0,1.0,1.0,0.0,19.0,0.0,1.0,302.0,2050.0,45.0,26.0,2423.0
2.0,50.0,1.0,1.0,1.0,1.0,0.0,1.0,350.0,950.0,50.0,14.0,1364.0
2.0,67.0,3.0,2.0,2.0,27.0,0.0,1.0,600.0,2200.0,50.0,33.0,2883.0
4.0,31.0,1.0,1.0,0.0,31.0,0.0,0.0,430.0,2300.0,0.0,30.0,2760.0
