POP,EDUCATION,HOUSES,INCOME,XCOORD,YCOORD,ln(VOTES/POP)
9.97292,9.246286,9.004054,12.134915,-86641470.0,32542208.0,-0.6615588665008545
10.903347,10.221213,9.965758,13.056638,-87754740.0,30654880.0,-0.6508589386940002
9.722205,8.75353,8.707648,11.630629,-85388990.0,31863072.0,-0.6171144843101501
9.27369,8.183118,8.277412,11.243711,-87126856.0,32996944.0,-0.6390700936317444
10.151519,9.207737,9.240676,12.155101,-86566216.0,33979740.0,-0.7002735733985901
8.863474,7.7890406,7.8268423,10.644734,-85717784.0,32101772.0,-0.2263670116662979
9.605351,8.644707,8.578288,11.508898,-86682300.0,31751982.0,-0.5731808543205261
11.358316,10.520644,10.222741,13.415306,-85825620.0,33774548.0,-0.8798741102218628
10.216216,9.2583685,9.220489,12.21927,-85389800.0,32915184.0,-0.8320062160491943
9.502935,8.487764,8.530109,11.532522,-85605750.0,34187090.0,-0.7329621315002441
9.97124,9.018454,9.058121,11.968729,-86718690.0,32844988.0,-0.6231393218040466
9.308374,8.321665,8.406038,11.269821,-88265784.0,32024864.0,-0.5165840983390808
9.809946,8.915969,8.858085,11.846866,-87835980.0,31677524.0,-0.5354107022285461
9.162515,8.230044,8.189799,11.04685,-85859860.0,33268720.0,-0.5060814619064331
9.087042,7.954021,8.142936,11.053094,-85517384.0,33670870.0,-0.6694483160972595
10.20485,9.46032,9.190036,12.299563,-85989130.0,31402888.0,-0.7019152641296387
10.563388,9.798127,9.596962,12.739846,-87796570.0,34707296.0,-0.659250795841217
9.294406,8.252967,8.369389,11.17804,-86993000.0,31428184.0,-0.565170407295227
8.976389,7.9606724,8.034631,10.931033,-86239250.0,32935504.0,-0.6314082741737366
10.198431,9.224736,9.266438,12.160573,-86453160.0,31248132.0,-0.6800175905227661
9.207235,8.066835,8.19809,11.022278,-86311600.0,31731354.0,-0.6401100158691406
10.685195,9.74952,9.735424,12.723613,-86866900.0,34131670.0,-0.675547182559967
10.407832,9.689923,9.11041,12.445377,-85612340.0,31426116.0,-0.9685252904891968
10.476415,9.644069,9.256365,12.434116,-87109520.0,32329592.0,-0.670153796672821
10.543999,9.520175,9.616472,12.556958,-85798730.0,34459830.0,-0.7082545161247253
10.315697,9.579003,9.313438,12.425791,-86138160.0,32599910.0,-0.6873039603233337
10.185655,9.321971,9.168685,12.173069,-87162696.0,31136908.0,-0.7885856032371521
11.205231,10.430817,10.211891,13.352145,-86038250.0,34047532.0,-0.6650080680847168
9.497322,8.496582,8.534247,11.509801,-87735380.0,33729772.0,-0.6742632389068604
9.920542,8.954415,8.977273,11.948732,-87843650.0,34435932.0,-0.6366717219352722
9.744257,8.803424,8.798606,11.81638,-85837336.0,31094396.0,-0.5718265175819397
8.866863,7.7480288,7.774015,10.569418,-87951230.0,32854780.0,-0.44662198424339294
9.235423,8.076204,8.18144,10.973031,-87625420.0,32755764.0,-0.5394145250320435
9.269458,8.284504,8.300777,11.220887,-85239830.0,31516096.0,-0.5903159976005554
10.848754,10.124068,9.808902,13.027629,-85304580.0,31151186.0,-0.7952102422714233
10.479735,9.556197,9.487972,12.543512,-86002130.0,34776176.0,-0.9185271859169006
13.096891,12.466481,11.96845,15.372937,-86896720.0,33552432.0,-0.6303334832191467
9.355566,8.344743,8.364508,11.337107,-88096420.0,33775080.0,-0.6255216598510742
10.960358,10.192943,9.951658,13.134432,-87647580.0,34903732.0,-0.7478054165840149
9.906881,8.876545,8.959954,11.884054,-87310216.0,34519990.0,-0.8309875130653381
10.951683,10.014537,9.672689,12.971736,-85355890.0,32597368.0,-0.954159140586853
10.364325,9.487745,9.3344145,12.455515,-86981420.0,34810320.0,-0.8625090718269348
8.987322,7.894691,7.9157133,10.691331,-86642630.0,32157500.0,-0.40640291571617126
9.848397,8.931816,8.601534,11.594966,-85692580.0,32384888.0,-0.7688494920730591
11.842668,11.253559,10.709964,14.143814,-86548776.0,34760000.0,-0.7594183087348938
9.713174,8.79921,8.688285,11.684338,-87790376.0,32248548.0,-0.5374252200126648
9.963594,8.932873,9.005159,11.952032,-87886570.0,34134470.0,-0.6820502877235413
10.75212,9.882468,9.775882,12.785261,-86313060.0,34365160.0,-0.8519883155822754
12.430351,11.727004,11.312973,14.60716,-88198530.0,30684350.0,-0.7604907155036926
9.60272,8.737934,8.629807,11.619841,-87353100.0,31562730.0,-0.4897722005844116
11.830142,11.205585,10.670745,14.075035,-86203790.0,32224348.0,-0.725124716758728
11.046515,10.351949,10.049664,13.254323,-86857300.0,34453296.0,-0.7621628046035767
9.198369,8.128585,8.045909,10.886932,-87293690.0,32638846.0,-0.4154326319694519
9.582938,8.577347,8.576028,11.468054,-88084080.0,33283796.0,-0.5732460021972656
9.914872,8.8651705,8.748622,11.746487,-85938910.0,31806086.0,-0.7054325342178345
9.5521555,8.49331,8.596559,11.380159,-85456430.0,33290802.0,-0.6851508021354675
10.394886,9.348013,9.237371,12.340709,-85184110.0,32287340.0,-0.8844407200813293
10.249379,9.375939,9.346618,12.352111,-86318300.0,33712572.0,-0.7275917530059814
10.728365,10.064883,9.759155,13.032132,-86654664.0,33266792.0,-0.6735731959342957
9.314159,8.286774,8.181161,11.213279,-88193790.0,32593446.0,-0.43246230483055115
10.81368,9.899631,9.7589245,12.815096,-86169490.0,33383988.0,-0.8786450624465942
10.20474,9.313979,9.18881,12.235078,-85797600.0,32860832.0,-0.6866940259933472
11.515383,10.697611,10.2661495,13.569332,-87523770.0,33287940.0,-0.9009078145027161
